Forest,SOM_percent,Nitrate-N_ppm,Buffer_pH,Ca_ppm,P_ppm,Mg_ppm,K_ppm,Na_ppm,Zn_ppm,Worms
DEGRASSE,3.11,5,5.28,99,23,18,30,15,2,0
DEGRASSE,5.08,6,5.42,103,14,20,34,16,2.7,1
DEGRASSE,4.23,7,5.39,144,17,21,36,14,2.8,1
DEGRASSE,3.47,0,5.42,71,12,13,20,15,1.3,0
DEGRASSE,2.66,0,5.8,48,17,11,18,15,2.1,2
DEGRASSE,4.22,0,5.47,90,10,14,21,15,2.3,0
DEGRASSE,3.3,4,5.59,91,12,13,21,14,22,0
DEGRASSE,5.47,4,5.07,114,15,16,31,16,2.1,0
DEGRASSE,4.75,,5.32,121,16,22,46,15,2.5,0
DONNERVILLE,9.84,0,4.86,235,9,49,72,16,4.9,2
DONNERVILLE,10.57,0,4.85,430,4,74,64,19,9,1
DONNERVILLE,6.82,,4.99,444,4,55,41,17,10.5,2
DONNERVILLE,9.91,3,5.09,99,6,25,35,16,3.1,1
DONNERVILLE,40.09,5,4.18,1016,13,151,164,16,18.2,2
DONNERVILLE,8.37,,5.37,178,3,35,35,16,5.8,2
DONNERVILLE,7.65,4,5.16,1069,7,82,49,21,17.6,3
DONNERVILLE,5.33,5,5.34,218,5,29,38,18,3.2,2
DONNERVILLE,6.9,,5.05,440,6,41,41,19,4.2,1
KIP TRACT,29.03,0,4.64,499,10,113,88,25,6.4,5
KIP TRACT,26.47,0,4.83,425,48,79,120,30,6,4
KIP TRACT,6.22,,5.02,196,15,49,47,21,4.7,3
KIP TRACT,6.84,22,5.64,1101,35,167,82,23,4.5,4
KIP TRACT,4.04,20,5.72,829,40,109,62,20,2.3,5
KIP TRACT,4.56,,5.69,729,30,104,70,20,3.5,5
KIP TRACT,5.5,14,5.65,1085,15,174,44,23,2.7,3
KIP TRACT,3.92,14,5.85,,,,,,,2
KIP TRACT,3.63,,5.6,583,15,121,46,18,1.5,4
PEAVINE,55.21,13,3.36,689,9,92,67,17,11.9,0
PEAVINE,43.11,10,3.36,659,12,60,51,16,12.9,0
PEAVINE,38.44,,3.72,497,6,62,41,14,7.8,1
PEAVINE,43.37,33,4.4,174,14,33,85,15,3,2
PEAVINE,49.33,199,4.28,261,27,48,89,15,5,0
PEAVINE,13.05,,4.64,157,8,30,53,16,3.6,0
PEAVINE,18.21,18,5.09,301,14,45,98,19,10.2,1
PEAVINE,18.98,14,4.96,274,15,41,52,19,4.3,1
PEAVINE,5.68,,4.97,228,5,30,53,13,5.1,0
SOUTH HAMMOND,10.31,5,5.52,428,63,83,111,15,8,2
SOUTH HAMMOND,10.18,0,52.9,411,157,54,75,17,8.5,1
SOUTH HAMMOND,5.57,,5.46,599,43,121,60,15,15.6,21
SOUTH HAMMOND,6.74,0,5.01,187,13,63,102,12,3.3,2
SOUTH HAMMOND,7.2,0,5.6,348,10,65,105,16,2,1
SOUTH HAMMOND,5.07,,4.92,149,8,54,57,15,3.5,0
SOUTH HAMMOND,5.54,0,5.53,138,8,35,63,14,3.4,0
SOUTH HAMMOND,8.4,0,4.73,406,45,69,65,14,7,2
SOUTH HAMMOND,5.81,,5.47,95,10,27,57,14,3.4,1